trip_mode,arrival_mode,count,mapped_mode
SHARED3,CURB_LOC1,4163,CURB
DRIVEALONE,CURB_LOC1,10103,CURB
SHARED2,CURB_LOC1,5940,CURB
SHARED3,HOTEL_COURTESY,5178,HOTEL_SHUTTLE_VAN
KNR_LOC,KNR_LOC,41,TRANSIT
KNR_MIX,KNR_MIX,15,TRANSIT
KNR_PRM,KNR_PRM,53,TRANSIT
SHARED3,PARK_ESCORT,160,PARK_ESCORT
DRIVEALONE,PARK_ESCORT,358,PARK_ESCORT
SHARED2,PARK_ESCORT,198,PARK_ESCORT
SHARED2,PARK_LOC1,171,PARKED
SHARED3,PARK_LOC1,99,PARKED
DRIVEALONE,PARK_LOC1,679,PARKED
SHARED3,PARK_LOC4,112,PARKED
SHARED2,PARK_LOC4,173,PARKED
DRIVEALONE,PARK_LOC4,532,PARKED
SHARED2,PARK_LOC5,235,PARKED
SHARED3,PARK_LOC5,119,PARKED
DRIVEALONE,PARK_LOC5,752,PARKED
SHARED3,RENTAL,1179,RENTAL
DRIVEALONE,RENTAL,3912,RENTAL
SHARED2,RENTAL,1953,RENTAL
SHARED2,RIDEHAIL_LOC1,5092,TAXI/TNC
SHARED3,RIDEHAIL_LOC1,3210,TAXI/TNC
SHARED3,SHUTTLEVAN,1982,SHUTTLE_VAN
SHARED2,TAXI_LOC1,4928,TAXI/TNC
SHARED3,TAXI_LOC1,3209,TAXI/TNC
TNC_LOC,TNC_LOC,20,TRANSIT
TNC_MIX,TNC_MIX,9,TRANSIT
TNC_PRM,TNC_PRM,33,TRANSIT
WALK,WALK,1543,WALK
WALK_LOC,WALK_LOC,36,TRANSIT
WALK_MIX,WALK_MIX,39,TRANSIT
WALK_PRM,WALK_PRM,37,TRANSIT
